Step,A_size,ConfDegree,difBetP,Jousselme_Distance
1,1,0.516183,0.604762,0.786417
2,2,0.335380,0.221429,0.687213
3,3,0.208065,0.195238,0.571027
4,4,0.109055,0.195238,0.424124
5,5,0.011811,0.054762,0.133006
6,6,0.089849,0.138095,0.388373
7,7,0.189219,0.169048,0.502731
8,8,0.234516,0.154762,0.570192
9,9,0.271688,0.143651,0.618273
10,10,0.302848,0.134762,0.654781
11,11,0.329415,0.127489,0.683708
12,12,0.352384,0.128571,0.707359
13,13,0.372473,0.133700,0.727174
14,14,0.390216,0.138095,0.744104
15,15,0.406020,0.141905,0.758805
16,16,0.420199,0.145238,0.771748
17,17,0.433003,0.148179,0.783277
18,18,0.444630,0.150794,0.793650
19,19,0.455242,0.153133,0.803068
20,20,0.464972,0.155238,0.811685
